"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_PRECISION_RADIX","NUMERIC_SCALE","DATETIME_PRECISION"
TPCH_SF10,CUSTOMER,C_CUSTKEY,1,,NO,NUMBER,,,38,10,0,
TPCH_SF10,CUSTOMER,C_NAME,2,,NO,TEXT,25,100,,,,
TPCH_SF10,CUSTOMER,C_ADDRESS,3,,NO,TEXT,40,160,,,,
TPCH_SF10,CUSTOMER,C_NATIONKEY,4,,NO,NUMBER,,,38,10,0,
TPCH_SF10,CUSTOMER,C_PHONE,5,,NO,TEXT,15,60,,,,
TPCH_SF10,CUSTOMER,C_ACCTBAL,6,,NO,NUMBER,,,12,10,2,
TPCH_SF10,CUSTOMER,C_MKTSEGMENT,7,,YES,TEXT,10,40,,,,
TPCH_SF10,CUSTOMER,C_COMMENT,8,,YES,TEXT,117,468,,,,
TPCH_SF10,LINEITEM,L_ORDERKEY,1,,NO,NUMBER,,,38,10,0,
TPCH_SF10,LINEITEM,L_PARTKEY,2,,NO,NUMBER,,,38,10,0,
TPCH_SF10,LINEITEM,L_SUPPKEY,3,,NO,NUMBER,,,38,10,0,
TPCH_SF10,LINEITEM,L_LINENUMBER,4,,NO,NUMBER,,,38,10,0,
TPCH_SF10,LINEITEM,L_QUANTITY,5,,NO,NUMBER,,,12,10,2,
TPCH_SF10,LINEITEM,L_EXTENDEDPRICE,6,,NO,NUMBER,,,12,10,2,
TPCH_SF10,LINEITEM,L_DISCOUNT,7,,NO,NUMBER,,,12,10,2,
TPCH_SF10,LINEITEM,L_TAX,8,,NO,NUMBER,,,12,10,2,
TPCH_SF10,LINEITEM,L_RETURNFLAG,9,,NO,TEXT,1,4,,,,
TPCH_SF10,LINEITEM,L_LINESTATUS,10,,NO,TEXT,1,4,,,,
TPCH_SF10,LINEITEM,L_SHIPDATE,11,,NO,DATE,,,,,,
TPCH_SF10,LINEITEM,L_COMMITDATE,12,,NO,DATE,,,,,,
TPCH_SF10,LINEITEM,L_RECEIPTDATE,13,,NO,DATE,,,,,,
TPCH_SF10,LINEITEM,L_SHIPINSTRUCT,14,,NO,TEXT,25,100,,,,
TPCH_SF10,LINEITEM,L_SHIPMODE,15,,NO,TEXT,10,40,,,,
TPCH_SF10,LINEITEM,L_COMMENT,16,,NO,TEXT,44,176,,,,
TPCH_SF10,NATION,N_NATIONKEY,1,,NO,NUMBER,,,38,10,0,
TPCH_SF10,NATION,N_NAME,2,,NO,TEXT,25,100,,,,
TPCH_SF10,NATION,N_REGIONKEY,3,,NO,NUMBER,,,38,10,0,
TPCH_SF10,NATION,N_COMMENT,4,,YES,TEXT,152,608,,,,
TPCH_SF10,ORDERS,O_ORDERKEY,1,,NO,NUMBER,,,38,10,0,
TPCH_SF10,ORDERS,O_CUSTKEY,2,,NO,NUMBER,,,38,10,0,
TPCH_SF10,ORDERS,O_ORDERSTATUS,3,,NO,TEXT,1,4,,,,
TPCH_SF10,ORDERS,O_TOTALPRICE,4,,NO,NUMBER,,,12,10,2,
TPCH_SF10,ORDERS,O_ORDERDATE,5,,NO,DATE,,,,,,
TPCH_SF10,ORDERS,O_ORDERPRIORITY,6,,NO,TEXT,15,60,,,,
TPCH_SF10,ORDERS,O_CLERK,7,,NO,TEXT,15,60,,,,
TPCH_SF10,ORDERS,O_SHIPPRIORITY,8,,NO,NUMBER,,,38,10,0,
TPCH_SF10,ORDERS,O_COMMENT,9,,NO,TEXT,79,316,,,,
TPCH_SF10,PART,P_PARTKEY,1,,NO,NUMBER,,,38,10,0,
TPCH_SF10,PART,P_NAME,2,,NO,TEXT,55,220,,,,
TPCH_SF10,PART,P_MFGR,3,,NO,TEXT,25,100,,,,
TPCH_SF10,PART,P_BRAND,4,,NO,TEXT,10,40,,,,
TPCH_SF10,PART,P_TYPE,5,,NO,TEXT,25,100,,,,
TPCH_SF10,PART,P_SIZE,6,,NO,NUMBER,,,38,10,0,
TPCH_SF10,PART,P_CONTAINER,7,,NO,TEXT,10,40,,,,
TPCH_SF10,PART,P_RETAILPRICE,8,,NO,NUMBER,,,12,10,2,
TPCH_SF10,PART,P_COMMENT,9,,YES,TEXT,23,92,,,,
TPCH_SF10,PARTSUPP,PS_PARTKEY,1,,NO,NUMBER,,,38,10,0,
TPCH_SF10,PARTSUPP,PS_SUPPKEY,2,,NO,NUMBER,,,38,10,0,
TPCH_SF10,PARTSUPP,PS_AVAILQTY,3,,NO,NUMBER,,,38,10,0,
TPCH_SF10,PARTSUPP,PS_SUPPLYCOST,4,,NO,NUMBER,,,12,10,2,
TPCH_SF10,PARTSUPP,PS_COMMENT,5,,YES,TEXT,199,796,,,,
TPCH_SF10,REGION,R_REGIONKEY,1,,NO,NUMBER,,,38,10,0,
TPCH_SF10,REGION,R_NAME,2,,NO,TEXT,25,100,,,,
TPCH_SF10,REGION,R_COMMENT,3,,YES,TEXT,152,608,,,,
TPCH_SF10,SUPPLIER,S_SUPPKEY,1,,NO,NUMBER,,,38,10,0,
TPCH_SF10,SUPPLIER,S_NAME,2,,NO,TEXT,25,100,,,,
TPCH_SF10,SUPPLIER,S_ADDRESS,3,,NO,TEXT,40,160,,,,
TPCH_SF10,SUPPLIER,S_NATIONKEY,4,,NO,NUMBER,,,38,10,0,
TPCH_SF10,SUPPLIER,S_PHONE,5,,NO,TEXT,15,60,,,,
